InterA	InterB	Agricultura	Biología	Medicina	Química	Ingeniería	Física	País
815319	379851	88663	58104	255864	440134	111015	162288	USA
162103	90332	35158	29802	59630	92725	6409	34349	UK
105856	78811	13978	16758	55634	308926	32039	40538	Japón
118935	76186	13818	11253	49938	120065	9984	35792	Francia
91099	85037	11740	20337	41233	66087	11304	22093	Grecia
72722	49459	14041	16722	23139	101900	12034	14645	Bélgica
42905	29734	7904	13444	31078	36322	5833	11351	Italia
36121	22236	12419	9863	12186	19641	4898	6299	Alemania
29912	18036	6563	7548	13721	23029	3798	6775	Holanda
28568	16190	3985	9502	14852	18341	2387	3549	Suecia
26495	14518	3378	3636	11096	19304	2556	5784	China
16425	11818	3089	3981	7196	15493	1258	2692	España
17311	11791	3240	4011	8098	11964	1772	3417	Bielorusia
14677	555	2635	5667	8368	14266	1197	1999	Dinamarca
10957	13154	1433	2372	5928	6713	1318	2278	Austria
11012	6457	2028	4756	5731	6647	1001	1669	Finlandia
9075	5432	1803	3299	4801	5326	912	853	Noruega
4686	2957	2031	1194	1806	7046	801	1861	India
3720	2749	692	1293	1518	2415	896	1366	Grecia
6786	214	432	1119	1355	98	522	941	Irlanda
1221	1929	388	386	564	12	493	413	Portugal
